1	7
10	18
10	12
10	8
10	5
10	11
10	19
10	15
10	4
10	10
10	17
10	3
10	13
10	6
10	9
1	13
10	14
10	20
10	16
10	7
10	1
10	2
11	5
11	19
11	12
11	4
11	18
11	17
11	8
11	13
11	11
2	14
11	9
11	15
11	20
11	10
11	7
11	3
11	2
11	6
11	1
11	14
2	4
11	16
2	12
2	3
1	6
2	13
2	2
2	18
2	15
2	8
2	19
2	10
2	16
2	9
13	5
13	19
13	12
13	4
13	18
13	17
13	8
13	13
13	11
2	17
13	9
13	15
13	20
13	10
13	7
13	3
13	2
13	6
13	1
13	14
1	12
2	7
13	16
2	20
2	6
2	5
2	11
14	9
14	20
14	13
14	7
2	1
14	17
14	2
14	4
14	1
14	19
14	16
14	5
14	14
14	12
14	6
14	18
14	3
14	8
14	10
14	11
14	15
1	11
16	2
16	1
16	7
16	16
16	20
16	14
16	9
16	6
16	13
16	3
16	17
16	10
16	4
16	15
16	19
16	11
1	10
1	14
17	1
17	16
17	2
17	14
17	7
17	6
17	20
17	3
17	9
17	10
17	13
17	15
17	17
17	11
17	4
17	8
17	19
17	18
17	5
17	12
1	1
18	16
18	14
18	1
18	6
18	2
18	3
18	7
18	10
18	20
18	15
18	9
18	11
18	13
18	8
18	17
18	18
18	4
18	12
18	19
18	5
19	14
19	6
19	16
19	3
19	1
19	10
19	2
19	15
19	7
19	11
19	20
19	8
19	9
19	18
19	13
19	12
19	17
19	5
19	4
19	19
1	4
20	6
20	3
20	14
20	10
20	16
20	15
20	1
20	11
20	2
20	8
20	7
20	18
20	20
20	12
20	9
20	5
20	13
20	19
20	17
20	4
1	5
21	3
21	10
21	6
21	15
21	14
21	11
21	16
21	8
21	1
3	8
21	18
21	2
21	12
21	7
21	5
21	20
21	19
21	9
21	4
21	13
3	18
21	17
3	11
3	12
3	15
3	5
22	10
22	15
22	3
22	11
3	10
22	6
22	8
22	14
22	18
22	16
22	12
22	1
22	5
22	2
22	19
3	19
22	7
22	4
22	20
22	17
22	9
22	13
3	3
1	3
3	4
3	6
3	17
3	14
23	15
23	11
23	10
23	8
23	3
23	18
23	6
23	12
23	14
3	13
23	5
23	16
23	19
23	1
23	4
23	2
23	17
23	7
23	13
23	20
3	16
23	9
3	9
3	1
24	11
24	8
24	15
24	18
1	20
24	10
24	12
24	3
24	5
24	6
24	19
24	14
24	4
24	16
24	17
24	1
24	13
24	2
24	9
24	7
24	20
25	8
25	18
25	11
25	12
25	15
25	5
25	10
25	19
25	3
25	4
25	6
25	17
25	14
25	13
25	16
25	9
25	1
25	20
25	2
25	7
1	2
26	18
26	12
26	8
26	5
26	11
26	19
26	15
26	4
26	10
26	17
26	3
26	13
26	6
26	9
26	14
26	20
26	16
26	7
26	1
26	2
27	12
27	5
27	18
27	19
27	8
27	4
27	11
27	17
27	15
1	17
27	13
27	10
27	9
27	3
27	20
27	6
27	7
27	14
27	2
27	16
27	1
28	5
28	19
28	12
28	4
28	18
28	17
28	8
28	13
28	11
28	9
28	15
28	20
28	10
28	7
28	3
28	2
28	6
28	1
28	14
28	16
1	15
29	19
29	4
29	5
29	17
29	12
29	13
29	18
29	9
29	8
29	20
29	11
29	7
29	15
29	2
29	10
29	1
29	3
29	16
29	6
29	14
30	4
30	17
30	19
30	13
30	5
30	9
30	12
30	20
30	18
30	7
30	8
30	2
30	11
30	1
1	16
30	15
30	16
30	10
30	14
30	3
30	6
4	18
4	12
4	8
4	5
1	8
1	19
4	11
4	19
4	15
4	4
4	10
4	17
4	3
4	13
4	6
4	9
4	14
4	20
4	16
4	7
4	1
4	2
5	3
5	10
5	6
5	15
5	14
5	11
5	16
5	8
5	1
5	18
5	2
5	12
5	7
5	5
5	20
5	19
5	9
5	4
5	13
5	17
1	9
6	10
6	15
6	3
6	11
6	6
6	8
6	14
6	18
6	16
6	12
6	1
6	5
6	2
6	19
6	7
6	4
6	20
6	17
6	9
6	13
7	15
7	11
7	10
7	8
7	3
7	18
7	6
7	12
7	14
1	18
7	5
7	16
7	19
7	1
7	4
7	2
7	17
7	7
7	13
7	20
7	9
8	11
8	8
8	15
8	18
8	10
8	12
8	3
8	5
8	6
8	19
8	14
8	4
8	16
8	17
8	1
8	13
8	2
8	9
8	7
8	20
